segment_index,pyannote_speaker,assigned_speaker,cluster_best_speaker,cluster_best_score,cluster_second_speaker,cluster_second_score,cluster_margin,start,end,duration_sec,analysis_start,analysis_end,analysis_duration_sec,segment_best_speaker,segment_best_score,segment_second_speaker,segment_second_score,segment_margin,oki,takahara,tsuboi
0,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,0.065,4.905,4.84,0.065,4.905,4.84,oki,0.556235,tsuboi,0.286057,0.270178,0.556235,0.276607,0.286057
1,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,4.885,5.245,0.36,4.665,5.465,0.8,tsuboi,0.117365,takahara,0.063247,0.054118,0.052374,0.063247,0.117365
2,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,5.745,6.365,0.62,5.655,6.455,0.8,oki,0.309901,takahara,0.196533,0.113368,0.309901,0.196533,0.12939
3,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,8.645,14.765,6.12,8.645,14.765,6.12,oki,0.56888,tsuboi,0.418601,0.150279,0.56888,0.169241,0.418601
4,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,15.245,17.665,2.42,15.245,17.665,2.42,oki,0.525491,tsuboi,0.345894,0.179597,0.525491,0.159256,0.345894
5,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,17.225,18.545,1.32,17.225,18.545,1.32,tsuboi,0.24053,takahara,0.211614,0.028916,0.185433,0.211614,0.24053
6,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,18.265,18.725,0.46,18.095,18.895,0.8,oki,0.270116,takahara,0.220987,0.049129,0.270116,0.220987,0.210661
7,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,19.045,20.185,1.14,19.045,20.185,1.14,oki,0.26385,tsuboi,0.132297,0.131553,0.26385,0.043654,0.132297
8,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,20.225,20.645,0.42,20.035,20.835,0.8,oki,0.079149,takahara,0.018258,0.060891,0.079149,0.018258,0.002141
9,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,20.865,21.345,0.48,20.705,21.505,0.8,tsuboi,0.254519,oki,0.202928,0.051591,0.202928,0.057635,0.254519
10,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,22.685,23.865,1.18,22.685,23.865,1.18,takahara,0.372115,tsuboi,0.068022,0.304093,0.032675,0.372115,0.068022
11,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,24.685,26.105,1.42,24.685,26.105,1.42,takahara,0.485141,oki,0.249537,0.235604,0.249537,0.485141,0.231085
12,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,27.565,29.165,1.6,27.565,29.165,1.6,takahara,0.727603,tsuboi,0.241651,0.485952,0.173988,0.727603,0.241651
13,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,29.365,29.745,0.38,29.155,29.955,0.8,takahara,0.116606,oki,0.108678,0.007928,0.108678,0.116606,0.00561
14,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,29.825,32.305,2.48,29.825,32.305,2.48,takahara,0.641745,tsuboi,0.301974,0.339771,0.282519,0.641745,0.301974
15,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,32.305,32.985,0.68,32.245,33.045,0.8,oki,0.193845,tsuboi,0.114534,0.079311,0.193845,0.000283,0.114534
16,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,33.265,33.585,0.32,33.025,33.825,0.8,tsuboi,0.045759,oki,-0.022755,0.068514,-0.022755,-0.106572,0.045759
17,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,36.085,37.185,1.1,36.085,37.185,1.1,takahara,0.293964,oki,0.143454,0.15051,0.143454,0.293964,0.039919
18,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,37.345,38.825,1.48,37.345,38.825,1.48,takahara,0.484156,tsuboi,0.162335,0.321821,0.113693,0.484156,0.162335
19,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,38.165,38.365,0.2,37.865,38.665,0.8,takahara,0.224796,tsuboi,0.151039,0.073757,-0.003919,0.224796,0.151039
20,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,40.365,44.825,4.46,40.365,44.825,4.46,oki,0.501295,tsuboi,0.322323,0.178972,0.501295,0.186797,0.322323
21,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,45.545,47.785,2.24,45.545,47.785,2.24,oki,0.519424,tsuboi,0.295513,0.223911,0.519424,0.100961,0.295513
22,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,48.585,49.965,1.38,48.585,49.965,1.38,takahara,0.192577,oki,0.116548,0.076029,0.116548,0.192577,0.102659
23,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,49.185,49.385,0.2,48.885,49.685,0.8,oki,0.12612,takahara,0.077307,0.048813,0.12612,0.077307,0.048675
24,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,50.025,52.765,2.74,50.025,52.765,2.74,oki,0.400213,tsuboi,0.23339,0.166823,0.400213,0.071618,0.23339
25,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,50.585,51.525,0.94,50.585,51.525,0.94,oki,0.188145,tsuboi,0.170976,0.017169,0.188145,0.068012,0.170976
26,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,51.605,52.065,0.46,51.435,52.235,0.8,oki,0.247539,tsuboi,0.102474,0.145065,0.247539,0.003412,0.102474
27,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,52.765,53.125,0.36,52.545,53.345,0.8,oki,0.127541,tsuboi,0.089294,0.038247,0.127541,0.077736,0.089294
