segment_index,pyannote_speaker,assigned_speaker,cluster_best_speaker,cluster_best_score,cluster_second_speaker,cluster_second_score,cluster_margin,start,end,duration_sec,analysis_start,analysis_end,analysis_duration_sec,segment_best_speaker,segment_best_score,segment_second_speaker,segment_second_score,segment_margin,oki,takahara,tsuboi
28,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,53.465,56.085,2.62,53.465,56.085,2.62,oki,0.539258,tsuboi,0.196897,0.342361,0.539258,0.091041,0.196897
29,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,56.845,57.445,0.6,56.745,57.545,0.8,oki,0.216997,tsuboi,0.151274,0.065723,0.216997,-0.098957,0.151274
30,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,57.965,58.025,0.06,57.595,58.395,0.8,oki,0.230181,takahara,0.098804,0.131377,0.230181,0.098804,0.079627
31,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,58.025,59.745,1.72,58.025,59.745,1.72,oki,0.423137,tsuboi,0.230288,0.192849,0.423137,0.072906,0.230288
32,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,60.105,62.825,2.72,60.105,62.825,2.72,oki,0.475389,tsuboi,0.192536,0.282853,0.475389,0.138497,0.192536
33,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,61.845,62.605,0.76,61.825,62.625,0.8,oki,0.202266,tsuboi,0.192437,0.009829,0.202266,0.179354,0.192437
34,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,63.665,64.025,0.36,63.445,64.245,0.8,oki,0.1596,tsuboi,0.143751,0.015849,0.1596,0.051873,0.143751
35,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,63.865,64.365,0.5,63.715,64.515,0.8,oki,0.185948,tsuboi,0.084328,0.10162,0.185948,0.034999,0.084328
36,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,64.245,67.285,3.04,64.245,67.285,3.04,oki,0.628852,tsuboi,0.3927,0.236152,0.628852,0.165219,0.3927
37,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,66.905,67.565,0.66,66.835,67.635,0.8,takahara,0.286666,tsuboi,0.22187,0.064796,0.190083,0.286666,0.22187
38,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,67.765,68.605,0.84,67.765,68.605,0.84,oki,0.200173,tsuboi,0.117183,0.08299,0.200173,0.055495,0.117183
39,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,69.045,70.665,1.62,69.045,70.665,1.62,takahara,0.349613,oki,0.087381,0.262232,0.087381,0.349613,0.074337
40,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,71.505,73.165,1.66,71.505,73.165,1.66,oki,0.455121,tsuboi,0.293256,0.161865,0.455121,0.214038,0.293256
41,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,73.325,75.225,1.9,73.325,75.225,1.9,oki,0.363461,tsuboi,0.236377,0.127084,0.363461,0.10716,0.236377
42,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,74.545,74.805,0.26,74.275,75.075,0.8,oki,0.322458,tsuboi,0.213579,0.108879,0.322458,-0.008961,0.213579
43,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,75.085,75.425,0.34,74.855,75.655,0.8,oki,0.251067,tsuboi,0.137422,0.113645,0.251067,-0.061144,0.137422
44,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,75.545,76.545,1.0,75.545,76.545,1.0,oki,0.242728,tsuboi,0.200916,0.041812,0.242728,0.102074,0.200916
45,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,76.605,76.925,0.32,76.365,77.165,0.8,takahara,0.248374,tsuboi,0.181356,0.067018,0.125598,0.248374,0.181356
46,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,81.325,82.165,0.84,81.325,82.165,0.84,takahara,0.339511,tsuboi,0.189602,0.149909,0.077091,0.339511,0.189602
47,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,82.305,82.565,0.26,82.035,82.835,0.8,oki,0.253429,takahara,0.248127,0.005302,0.253429,0.248127,0.135156
48,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,82.525,83.165,0.64,82.445,83.245,0.8,takahara,0.367375,oki,0.207939,0.159436,0.207939,0.367375,0.198835
49,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,83.885,86.165,2.28,83.885,86.165,2.28,takahara,0.516523,tsuboi,0.195418,0.321105,0.169233,0.516523,0.195418
50,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,86.305,86.605,0.3,86.055,86.855,0.8,oki,0.094679,tsuboi,0.077306,0.017373,0.094679,0.061957,0.077306
51,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,87.045,88.205,1.16,87.045,88.205,1.16,takahara,0.34589,tsuboi,0.230026,0.115864,0.223075,0.34589,0.230026
52,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,89.345,90.205,0.86,89.345,90.205,0.86,takahara,0.277324,tsuboi,0.210597,0.066727,0.093675,0.277324,0.210597
53,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,91.025,91.865,0.84,91.025,91.865,0.84,oki,0.372635,tsuboi,0.288504,0.084131,0.372635,0.13502,0.288504
54,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,91.865,92.345,0.48,91.705,92.505,0.8,oki,0.206478,takahara,0.183153,0.023325,0.206478,0.183153,0.156923
55,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,92.305,93.625,1.32,92.305,93.625,1.32,oki,0.235206,takahara,0.11685,0.118356,0.235206,0.11685,0.062203
56,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,92.505,93.125,0.62,92.415,93.215,0.8,oki,0.275118,takahara,0.274215,0.000903,0.275118,0.274215,0.147398
57,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,93.545,94.865,1.32,93.545,94.865,1.32,takahara,0.42604,tsuboi,0.146417,0.279623,0.004619,0.42604,0.146417
58,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,94.965,95.845,0.88,94.965,95.845,0.88,oki,0.226746,takahara,0.118992,0.107754,0.226746,0.118992,0.109852
59,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,95.905,97.625,1.72,95.905,97.625,1.72,oki,0.310717,takahara,0.232277,0.07844,0.310717,0.232277,0.169204
60,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,97.265,97.865,0.6,97.165,97.965,0.8,oki,0.233926,tsuboi,0.108586,0.12534,0.233926,0.081964,0.108586
61,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,98.345,99.985,1.64,98.345,99.985,1.64,oki,0.364831,tsuboi,0.234003,0.130828,0.364831,0.141664,0.234003
62,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,100.245,103.105,2.86,100.245,103.105,2.86,oki,0.363123,tsuboi,0.306828,0.056295,0.363123,0.054248,0.306828
63,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,103.165,104.125,0.96,103.165,104.125,0.96,takahara,0.129826,tsuboi,0.060261,0.069565,0.041235,0.129826,0.060261
64,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,105.105,106.985,1.88,105.105,106.985,1.88,oki,0.417026,tsuboi,0.36643,0.050596,0.417026,0.242159,0.36643
65,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,106.225,108.345,2.12,106.225,108.345,2.12,takahara,0.518118,tsuboi,0.307974,0.210144,0.181498,0.518118,0.307974
66,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,108.525,110.045,1.52,108.525,110.045,1.52,takahara,0.359393,tsuboi,0.225143,0.13425,0.16634,0.359393,0.225143
67,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,110.105,110.125,0.02,109.715,110.515,0.8,oki,0.080203,tsuboi,0.070538,0.009665,0.080203,-0.000287,0.070538
68,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,110.125,110.965,0.84,110.125,110.965,0.84,tsuboi,0.196561,oki,0.187348,0.009213,0.187348,0.135801,0.196561
69,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,110.965,111.145,0.18,110.655,111.455,0.8,oki,0.198878,tsuboi,0.100649,0.098229,0.198878,0.030096,0.100649
70,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,111.565,112.905,1.34,111.565,112.905,1.34,takahara,0.229985,tsuboi,0.122753,0.107232,0.10314,0.229985,0.122753
71,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,113.625,114.765,1.14,113.625,114.765,1.14,takahara,0.201122,oki,0.096673,0.104449,0.096673,0.201122,-0.038567
72,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,117.445,118.505,1.06,117.445,118.505,1.06,takahara,0.164692,oki,0.114312,0.05038,0.114312,0.164692,-0.091107
73,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,119.345,122.885,3.54,119.345,122.885,3.54,oki,0.65493,tsuboi,0.47452,0.18041,0.65493,0.188919,0.47452
74,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,123.085,125.065,1.98,123.085,125.065,1.98,takahara,0.546501,tsuboi,0.302126,0.244375,0.199437,0.546501,0.302126
75,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,124.905,125.525,0.62,124.815,125.615,0.8,takahara,0.211048,tsuboi,0.063917,0.147131,0.063649,0.211048,0.063917
76,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,125.445,125.505,0.06,125.075,125.875,0.8,takahara,0.291547,oki,0.112823,0.178724,0.112823,0.291547,0.110426
77,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,125.525,127.265,1.74,125.525,127.265,1.74,takahara,0.525513,oki,0.268479,0.257034,0.268479,0.525513,0.226968
78,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,126.045,126.725,0.68,125.985,126.785,0.8,takahara,0.306397,oki,0.22129,0.085107,0.22129,0.306397,0.210492
79,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,127.905,128.665,0.76,127.885,128.685,0.8,takahara,0.200783,tsuboi,0.179333,0.02145,0.090809,0.200783,0.179333
80,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,128.645,129.185,0.54,128.515,129.315,0.8,tsuboi,0.163755,oki,0.161072,0.002683,0.161072,0.040432,0.163755
81,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,130.165,130.705,0.54,130.035,130.835,0.8,tsuboi,0.176958,takahara,0.108806,0.068152,0.096796,0.108806,0.176958
82,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,140.245,141.565,1.32,140.245,141.565,1.32,takahara,0.243693,tsuboi,0.083206,0.160487,0.060789,0.243693,0.083206
83,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,141.705,142.025,0.32,141.465,142.265,0.8,oki,0.070689,tsuboi,0.031039,0.03965,0.070689,0.025107,0.031039
84,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,141.725,142.005,0.28,141.465,142.265,0.8,oki,0.070689,tsuboi,0.031039,0.03965,0.070689,0.025107,0.031039
85,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,142.145,143.505,1.36,142.145,143.505,1.36,takahara,0.375939,tsuboi,0.21125,0.164689,0.107066,0.375939,0.21125
86,SPEAKER_01,takahara,takahara,0.715708,tsuboi,0.362487,0.353221,143.685,145.345,1.66,143.685,145.345,1.66,takahara,0.408364,tsuboi,0.356085,0.052279,0.246967,0.408364,0.356085
87,SPEAKER_00,oki,oki,0.667036,tsuboi,0.423738,0.243298,144.145,144.625,0.48,143.985,144.785,0.8,takahara,0.276376,tsuboi,0.142048,0.134328,0.125822,0.276376,0.142048
