segment_index,pyannote_speaker,assigned_speaker,cluster_best_speaker,cluster_best_score,cluster_second_speaker,cluster_second_score,cluster_margin,start,end,duration_sec,analysis_start,analysis_end,analysis_duration_sec,segment_best_speaker,segment_best_score,segment_second_speaker,segment_second_score,segment_margin,oki,takahara,tsuboi
70,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,122.545,123.005,0.46,122.375,123.175,0.8,tsuboi,0.056009,oki,-0.020402,0.076411,-0.020402,-0.075818,0.056009
71,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,124.065,124.085,0.02,123.675,124.475,0.8,oki,0.241029,tsuboi,0.213296,0.027733,0.241029,0.040674,0.213296
72,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,124.085,124.945,0.86,124.085,124.945,0.86,tsuboi,0.351668,oki,0.190494,0.161174,0.190494,0.184319,0.351668
73,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,124.945,124.965,0.02,124.555,125.355,0.8,tsuboi,0.146423,takahara,0.136954,0.009469,0.115348,0.136954,0.146423
74,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,125.225,125.245,0.02,124.835,125.635,0.8,tsuboi,0.289453,oki,0.278096,0.011357,0.278096,0.188014,0.289453
75,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,125.245,125.985,0.74,125.215,126.015,0.8,tsuboi,0.409756,oki,0.360071,0.049685,0.360071,0.198788,0.409756
76,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,125.985,126.005,0.02,125.595,126.395,0.8,tsuboi,0.23898,oki,0.228748,0.010232,0.228748,-0.004699,0.23898
77,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,126.325,126.345,0.02,125.935,126.735,0.8,tsuboi,0.326119,oki,0.263254,0.062865,0.263254,0.064152,0.326119
78,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,126.345,126.905,0.56,126.225,127.025,0.8,tsuboi,0.33887,takahara,0.123191,0.215679,0.121552,0.123191,0.33887
79,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,126.905,126.925,0.02,126.515,127.315,0.8,tsuboi,0.2487,takahara,0.091365,0.157335,0.046842,0.091365,0.2487
80,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,127.725,129.045,1.32,127.725,129.045,1.32,tsuboi,0.370325,oki,0.154921,0.215404,0.154921,0.077703,0.370325
81,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,129.565,130.905,1.34,129.565,130.905,1.34,takahara,0.331777,oki,0.172358,0.159419,0.172358,0.331777,0.091495
82,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,131.565,131.845,0.28,131.305,132.105,0.8,oki,0.166726,tsuboi,0.073338,0.093388,0.166726,-0.051506,0.073338
83,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,132.245,132.545,0.3,131.995,132.795,0.8,oki,0.153327,tsuboi,-0.011048,0.164375,0.153327,-0.060814,-0.011048
84,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,132.725,134.445,1.72,132.725,134.445,1.72,tsuboi,0.313189,oki,0.245666,0.067523,0.245666,0.24508,0.313189
85,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,133.025,133.245,0.22,132.735,133.535,0.8,oki,0.281091,tsuboi,0.259433,0.021658,0.281091,0.124737,0.259433
86,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,134.805,135.165,0.36,134.585,135.385,0.8,oki,0.222387,tsuboi,0.211469,0.010918,0.222387,0.068825,0.211469
87,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,135.705,136.765,1.06,135.705,136.765,1.06,tsuboi,0.409401,oki,0.162763,0.246638,0.162763,0.145946,0.409401
88,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,135.805,136.025,0.22,135.515,136.315,0.8,tsuboi,0.397606,oki,0.16235,0.235256,0.16235,0.045499,0.397606
89,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,137.465,139.205,1.74,137.465,139.205,1.74,takahara,0.475739,tsuboi,0.279085,0.196654,0.259955,0.475739,0.279085
90,SPEAKER_00,oki,oki,0.625461,tsuboi,0.405462,0.219999,138.345,138.445,0.1,137.995,138.795,0.8,takahara,0.350005,oki,0.205129,0.144876,0.205129,0.350005,0.19004
91,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,138.445,139.125,0.68,138.385,139.185,0.8,takahara,0.280563,tsuboi,0.076583,0.20398,0.066299,0.280563,0.076583
92,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,139.445,139.465,0.02,139.055,139.855,0.8,takahara,0.167518,tsuboi,0.110852,0.056666,0.079433,0.167518,0.110852
93,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,139.505,139.645,0.14,139.175,139.975,0.8,tsuboi,0.230059,oki,0.192718,0.037341,0.192718,0.133414,0.230059
94,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,139.805,140.025,0.22,139.515,140.315,0.8,oki,0.168148,tsuboi,0.082362,0.085786,0.168148,0.022045,0.082362
95,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,140.785,143.205,2.42,140.785,143.205,2.42,takahara,0.400626,oki,0.335172,0.065454,0.335172,0.400626,0.318613
96,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,141.005,141.565,0.56,140.885,141.685,0.8,tsuboi,0.422096,takahara,0.213926,0.20817,0.0954,0.213926,0.422096
97,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,142.305,142.605,0.3,142.055,142.855,0.8,oki,0.10753,tsuboi,0.087425,0.020105,0.10753,0.054775,0.087425
98,SPEAKER_02,tsuboi,tsuboi,0.671467,oki,0.355076,0.316391,143.225,143.285,0.06,142.855,143.655,0.8,oki,0.264953,tsuboi,0.245521,0.019432,0.264953,0.124837,0.245521
99,SPEAKER_01,takahara,takahara,0.611678,tsuboi,0.344542,0.267136,143.285,143.405,0.12,142.945,143.745,0.8,tsuboi,0.142322,takahara,0.086583,0.055739,0.06039,0.086583,0.142322
